Games Played:	3200000
Total In:	160000000
Total Out:	39242750
Total In2:	8000000000
Total Out2:	4252224700

Pay:	Hits:
0	521856
10	351000
15	175500
20	252450
25	175500
30	38475
40	38475
50	154905
100	38055
150	15465
200	15465
250	15708
500	160

Symbol:	Count:	Pay:	Hits:
BONUS	3	50	78030
BONUS	4	100	6885
BONUS	5	250	243
SCATTER	3	0	423360
SCATTER	4	0	90720
SCATTER	5	0	7776
SYM1	3	25	175500
SYM1	4	50	45675
SYM1	5	250	15465
SYM2	3	20	175500
SYM2	4	40	38475
SYM2	5	200	15465
SYM3	3	15	175500
SYM3	4	30	38475
SYM3	5	150	15465
SYM4	3	10	175500
SYM4	4	20	38475
SYM4	5	100	15465
SYM5	3	10	175500
SYM5	4	20	38475
SYM5	5	100	15465
WILD	3	50	31200
WILD	4	100	240
WILD	5	500	160
