Games Played:	3200000
Total In:	160000000
Total Out:	229531550
Total In2:	8000000000
Total Out2:	129063414300

Pay:	Hits:
0	521856
10	709080
15	564300
20	562196
25	295900
30	147015
40	101467
50	737291
100	307173
150	256365
200	177673
250	103418
500	38880

Symbol:	Count:	Pay:	Hits:
BONUS	3	50	78030
BONUS	4	100	6885
BONUS	5	250	243
SCATTER	3	0	423360
SCATTER	4	0	90720
SCATTER	5	0	7776
SYM1	3	25	295900
SYM1	4	50	129629
SYM1	5	250	103175
SYM2	3	20	413180
SYM2	4	40	101467
SYM2	5	200	177673
SYM3	3	15	564300
SYM3	4	30	147015
SYM3	5	150	256365
SYM4	3	10	413180
SYM4	4	20	101467
SYM4	5	100	177673
SYM5	3	10	295900
SYM5	4	20	47549
SYM5	5	100	103175
WILD	3	50	529632
WILD	4	100	19440
WILD	5	500	38880
