Games Played:	1000000000
Total In:	50000000000
Total Out:	45282603500
Total In2:	2500000000000
Total Out2:	21913985159000

Pay:	Hits:
10	218933795
15	81894508
20	105845452
25	69027408
30	19073932
40	16891572
50	83769881
100	83076415
150	17129902
200	39692045
250	9862970
300	18811027
400	9404941
500	3798632

Symbol:	Count:	Pay:	Hits:
BONUS	3	50	28128655
BONUS	4	100	2480191
BONUS	5	250	87713
SCATTER	3	10	61037211
SCATTER	3	100	45787259
SCATTER	3	200	21364144
SCATTER	3	300	15259748
SCATTER	3	400	7631265
SCATTER	3	500	1525315
SCATTER	4	10	13076345
SCATTER	4	100	9814149
SCATTER	4	200	4576567
SCATTER	4	300	3270343
SCATTER	4	400	1633355
SCATTER	4	500	326729
SCATTER	5	10	1121012
SCATTER	5	100	842308
SCATTER	5	200	393200
SCATTER	5	300	280936
SCATTER	5	400	140321
SCATTER	5	500	28023
SYM1	3	25	69027408
SYM1	4	50	20482431
SYM1	5	250	9775257
SYM2	3	20	74651675
SYM2	4	40	16891572
SYM2	5	200	13358134
SYM3	3	15	81894508
SYM3	4	30	19073932
SYM3	5	150	17129902
SYM4	3	10	74663221
SYM4	4	20	16891579
SYM4	5	100	13359439
SYM5	3	10	69036006
SYM5	4	20	14302198
SYM5	5	100	9783634
WILD	3	50	35158795
WILD	4	100	1009435
WILD	5	500	1918565
